classified.basementExists,classified.specificities.SME.office.exists,classified.parking.parkingSpaceCount.outdoor,classified.condition.isNewlyBuilt,customer.name,customer.family,classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.energy.heatingType,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor
,,,,,,house group,house group,360000 - 441000,for sale,9030,None,None,None,None,None,None,None,0,None,0,0,None
,,,,,,house,house,406000,for sale,2870,hyper equipped,2022,as new,gas,30,3,436,1,None,0,0,None
,,,,,,house,house,406000,for sale,2870,hyper equipped,2022,as new,gas,30,3,426,1,None,0,0,None
,,,,,,house,exceptional property,739000,for sale,9100,installed,1850,good,gas,236,9,320,1,1,1,0,None
,,,,,,house,farmhouse,1200000,for sale,8700,installed,None,good,fueloil,442,5,20000,1,None,0,0,None
,,,,,,house group,house group,389990 - 459189,for sale,2580,None,None,None,None,None,None,None,0,None,0,0,None
,,,,,,house,house,750000,for sale,7943,installed,None,good,fueloil,574,9,1089,0,None,1,0,1
,,,,,,house,house,520000,for sale,1040,hyper equipped,None,None,gas,None,4,0,1,None,1,0,None
,,,,,,house group,house group,395000 - 445500,for sale,8710,None,None,None,None,None,None,None,0,None,0,0,None
,,,,,,house,bungalow,178000,for sale,4032,installed,1972,just renovated,gas,None,2,236,0,115,1,0,None
,,,,,,house,bungalow,178000,for sale,4032,installed,1972,just renovated,gas,None,2,236,0,115,1,0,None
,,,,,,house,apartment block,249000,for sale,4030,None,None,None,fueloil,None,7,0,0,None,1,0,None
,,,,,,house,exceptional property,2399000,for sale,8000,hyper equipped,1919,as new,gas,None,5,334,1,100,1,0,1
,,,,,,house group,house group,274363.33 - 274363.33,for sale,8840,None,None,None,None,None,None,None,0,None,0,0,1
,,,,,,house,house,550000,for sale,1495,None,None,to renovate,fueloil,596,5,4395,0,None,0,0,3
,,,,,,house,house,99000,for sale,6042,None,None,to renovate,fueloil,390,3,140,1,60,1,0,None
,,,,,,house,house,99000,for sale,6042,None,None,to renovate,fueloil,390,3,140,1,60,1,0,None
,,,,,,house,house,295000,for sale,8480,installed,2020,as new,None,40,3,0,0,150,0,0,None
,,,,,,house,house,295000,for sale,8480,installed,2020,as new,None,40,3,0,0,150,0,0,None
,,,,,,house,exceptional property,2950000,for sale,2000,None,1900,as new,gas,665,7,749,0,None,1,0,None
,,,,,,house,mansion,289000,for sale,8400,installed,1900,as new,gas,284,3,0,0,None,1,0,None
,,,,,,house,house,595000,for sale,2880,None,2020,good,None,None,3,0,0,17,1,0,None
,,,,,,house,house,595000,for sale,2880,None,2020,good,None,None,3,0,0,17,1,0,None
,,,,,,house,house,368800,for sale,9120,hyper equipped,2022,as new,gas,30,3,185,0,None,0,0,None
